,PC1_pca,PC2_pca
60,-0.2888725437645871,-1.4918241312501457
61,-1.229270633292229,-1.433418243595601
62,-1.1899900576278921,-1.347133875845649
63,-1.2916117619514835,-1.4625015365347218
64,-0.46470689540646154,-1.7033745257119284
65,-0.7737787612863786,-1.8459381719917503
66,-1.2872416394479622,-1.5897459560808473
67,-1.2497034268077407,-1.356511938824905
68,-1.1095758373180062,-1.457389959810073
69,-0.9157254734287235,-1.4995745155033686
70,-0.4809081211829891,-1.5021117386011316
71,-1.4224346043889917,-1.391272119868891
72,2.0684723452086704,-1.9289350772197862
73,-1.232003466428555,-1.274871300919071
74,-1.2256607283983298,-1.428110504489864
75,-1.2516669839208794,-1.4344285916859667
76,-1.1899280294010472,-1.2774255187775263
77,-1.2007678202269885,-1.6455193284545433
78,-1.1422633536508815,-1.633080471202581
79,-1.0089089054398652,-1.583126588244576
80,-0.893276438739173,-1.4149586492307247
81,-1.207096600787384,-1.4162028232610777
82,-1.2369255348635702,-1.5573970296724184
83,-1.290280070141803,-1.6275581061964615
84,-1.2637308838351295,-1.3179513637056328
85,-1.1952879602768007,-1.5598033670430054
86,-1.3782032068106471,-1.4447806085359156
87,1.3002161253205267,-1.8079594867185285
88,-1.447672427881271,-1.5871458319879743
89,-1.0662545473143645,-1.7627349078778447
90,-1.1264182698412875,-1.4076234734533464
91,-1.1297806639373527,-1.5866499854266471
92,-1.296844286045074,-1.9007734272084467
93,-1.2838505247451604,-1.5523101794614276
94,-1.2166762845065089,-1.7465088219804208
95,-1.2456516153443677,-1.4220214690980297
96,-1.092891858909246,-1.539083528457824
97,-1.132861084808779,-1.2564303964162007
98,-1.2355111217607055,-1.4082734990084471
99,-1.193637962444128,-1.6460691767739548
100,-0.8839250266972724,-1.59777729244562
101,0.1309579369143609,-1.537586890406317
102,-1.3077593890371533,-1.5986117419271548
103,-1.222032566022694,-1.5489396600050793
104,-1.1240108747753246,-1.5892751540810568
105,-0.23850444945789945,-1.6666246161662148
106,-0.4220601311382137,-1.5883903575063054
107,-1.133617708849198,-1.357308825253172
108,-1.3622064966752787,-1.6756686616254108
109,-1.2360388167987517,-1.7147391182905092
110,-0.9517047066289517,-1.4297187396027469
111,-1.272697105038797,-1.5618345245220575
112,1.0585184323464352,-1.8289746955587667
113,-1.3786032408583797,-1.7689433737571008
114,-1.2739888885599182,-1.460669932550685
115,-0.7011968243713587,-1.8356617314694117
116,-0.9544589230625798,1.1479548678201432
117,-0.652431388128718,0.8731256484464939
118,-0.9931252235046674,0.7935664574040827
119,-1.0080273376452518,0.8791787534591553
120,0.2837457656562764,0.8224528881953647
121,-0.8249514910069324,1.0225254670269937
122,-1.2921827301090536,0.4006608187849624
123,-0.5240020280486815,0.9702880116290974
124,7.313030278590555,0.5434603532963311
125,-1.082614935686471,0.777823483103128
126,0.9506038695938971,0.7528542759774501
127,-0.4763905253047555,1.172092720774345
128,-0.6559467687491964,0.7777220102451758
129,91.59381964252655,-8.326244775362678
130,1.1653587343335905,0.626715678792185
131,-0.8848180931829097,0.9430777996781543
132,-0.20855976460805384,0.3428063826757589
133,1.297769122690283,0.6747097217887036
134,1.0318274603036741,0.6729641766311671
135,-0.8997247174714418,0.9328812684387556
136,-0.5851117266781393,0.2593284639694477
